definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Dmitrichenko_Yekaterina Doi_Misaki
Proctor_Lauren Kalieva_Elvina
Samir_Sandra Palkina_Ksenia
Dart_Harriet Tomova_Viktoriya
Vukovic_Draginja Ayukawa_Mana
Lansere_Sofya Omae_Akiko
Snigur_Daria Kissell_Joelle
Collins_Danielle Hennemann_Caijsa
Webley-Smith_Emily Strycova_Barbora
Kimchi_Shavit Kudermetova_Veronika
Brady_Jennifer Zhang_Shuai
Bertoloni_Anita Shimizu_Ayano
Turati_Bianca Dulgheru_Alexandra
Arruabarrena_Lara Gracheva_Varvara
Milovanovic_Elena Prati_Federica
Bektas_Emina Giovine_Claudia
Martic_Petra Sukhotina_Anastasia
Andrianjafitrimo_Tessah Chikaraishi_Yui
Vasilescu_Arina Bucsa_Cristina
Okuno_Ayaka Chong_Eudice
Cristina_Paula Sewing_Sofia
Avanesyan_Elina Fossa_Nicole
Orpana_Oona Mitu_Andreea
Semenistaja_Darja Bartone_Kamilla
Gorgodze_Ekaterine Kuwata_Hiroko
Rosca_Andreea Vikhlyantseva_Natalia
Grymalska_Anastasia Pachkaleva_Taisya
Siedliska_Natalia Fetecau_Irina
Nagy_Adrienn Pieri_Jessica
Berberovic_Nefisa Hibino_Nao
Silva_Eden Deichmann_Kathinka
Gerlach_Katharina Piter_Katarzyna
Georges_Myrtille Cako_Jacqueline
Lopatetska_Daria Bereznyak_Shelly
Davis_Lauren Okamura_Kyoka
Riera_Julia Babel_Oceane
Luca_Reka Dinu_Cristina
Bihan_Kelia Lodikova_Daria
Lee_Sarah Kuzmova_Katarina
Camila_Maria Gabric_Anna
Barty_Ashleigh Noel_Alexa
Lao_Danielle Bondarenko_Maria
Kolodziejova_Miriam Ivakhnenko_Valentyna
Grabher_Julia Falkner_Ziva
Bosio_Victoria Gavrilova_Daria
Frech_Magdalena Branstine_Carson
Vekic_Donna Bonaventure_Ysaline
Luikham_Jennifer Begu_Irina-Camelia
Giavara_Haley Vidmanova_Darja
Jang_Su-Jeong Gonzalez_Montserrat
Kovinic_Danka Kozlova_Kateryna
Routliffe_Erin Spiteri_Dalila
Bolkvadze_Mariam Cabrera_Lizette
Ortenzi_Jazmin Keys_Madison
Bogdan_Ana Sama_Sathwika
Lemoine_Quirine Garland_Joanna
Ying_Man Gavrila_Oana
Chiesa_Deborah Shapatava_Sofia
Husaric_Anita Elie_Jennifer
Sun_Lulu Gadient_Nicole
Gamarra_Ingrid Blinkova_Anna
Ruppert_Lena Pislak_Manca
Djakovic_Mihaela KrejCikova_Barbora
Gleason_Quinn Papamichail_Despina
Proctor_Lauren Dmitrichenko_Yekaterina
Dart_Harriet Samir_Sandra
Vukovic_Draginja Lansere_Sofya
Collins_Danielle Snigur_Daria
Webley-Smith_Emily Kimchi_Shavit
Brady_Jennifer Bertoloni_Anita
Turati_Bianca Arruabarrena_Lara
Milovanovic_Elena Bektas_Emina
Andrianjafitrimo_Tessah Martic_Petra
Okuno_Ayaka Vasilescu_Arina
Cristina_Paula Avanesyan_Elina
Semenistaja_Darja Orpana_Oona
Gorgodze_Ekaterine Rosca_Andreea
Siedliska_Natalia Grymalska_Anastasia
Nagy_Adrienn Berberovic_Nefisa
Silva_Eden Gerlach_Katharina
Georges_Myrtille Lopatetska_Daria
Riera_Julia Davis_Lauren
Luca_Reka Bihan_Kelia
Lee_Sarah Camila_Maria
Barty_Ashleigh Lao_Danielle
Grabher_Julia Kolodziejova_Miriam
Bosio_Victoria Frech_Magdalena
Luikham_Jennifer Vekic_Donna
Jang_Su-Jeong Giavara_Haley
Routliffe_Erin Kovinic_Danka
Ortenzi_Jazmin Bolkvadze_Mariam
Bogdan_Ana Lemoine_Quirine
Ying_Man Chiesa_Deborah
Sun_Lulu Husaric_Anita
Gamarra_Ingrid Ruppert_Lena
Gleason_Quinn Djakovic_Mihaela
Proctor_Lauren Dart_Harriet
Vukovic_Draginja Collins_Danielle
Brady_Jennifer Webley-Smith_Emily
Milovanovic_Elena Turati_Bianca
Okuno_Ayaka Andrianjafitrimo_Tessah
Cristina_Paula Semenistaja_Darja
Gorgodze_Ekaterine Siedliska_Natalia
Silva_Eden Nagy_Adrienn
Georges_Myrtille Riera_Julia
Luca_Reka Lee_Sarah
Grabher_Julia Barty_Ashleigh
Bosio_Victoria Luikham_Jennifer
Routliffe_Erin Jang_Su-Jeong
Bogdan_Ana Ortenzi_Jazmin
Ying_Man Sun_Lulu
Gleason_Quinn Gamarra_Ingrid
Vukovic_Draginja Proctor_Lauren
Milovanovic_Elena Brady_Jennifer
Okuno_Ayaka Cristina_Paula
Silva_Eden Gorgodze_Ekaterine
Georges_Myrtille Luca_Reka
Bosio_Victoria Grabher_Julia
Routliffe_Erin Bogdan_Ana
Gleason_Quinn Ying_Man
Milovanovic_Elena Vukovic_Draginja
Silva_Eden Okuno_Ayaka
Georges_Myrtille Bosio_Victoria
Gleason_Quinn Routliffe_Erin
Silva_Eden Milovanovic_Elena
Georges_Myrtille Gleason_Quinn
Georges_Myrtille Silva_Eden
enregistrement_tournoi New-York 2019
Pulchartova_Laetitia Keller_Nadine
Trevisan_Martina Wang_Xinyu
Sabalenka_Aryna Primorac_Iva
Prisacariu_Andreea Plipuech_Peangtarn
Meyer_Luisa Silva_Eden
Hennemann_Caijsa Gillan_Alice
Vroome_Indy Paulina_Maria
Hosonuma_Chisa Stefani_Luisa
Brengle_Madison Szabanin_Natalia
Aney_Jessie Morita_Ayumi
Zacarias_Marcela Raducanu_Emma
Williams_Venus Hogenkamp_Richel
Bains_Naiktha Christie_Freya
Zantedeschi_Aurora Semenistaja_Darja
Payola_Julia Khazaniuk_Deniz
Katic_Vlada Ianchuk_Olga
Bonaventure_Ysaline Zheng_Saisai
Ferro_Fiona Konjuh_Ana
Vecic_Alexandra Jorge_Francisca
Herdzelas_Dea Kanev_Kathleen
Cascino_Estelle Contreras_Fernanda
Pliskova_Karolina Vismane_Daniela
Stearns_Peyton Baptiste_Hailey
Hibino_Nao Han_Xinyun
Dentoni_Corinna Carreras_Amanda
Proctor_Lauren Chernyshova_Maryna
Ganz_Fiona Smith_Tina
Muhammad_Asia Haas_Barbara
Olmos_Giuliana Giorgi_Camila
Yastremska_Dayana Tran_Lian
Fernandez_Leylah Morderger_Yana
KrejCikova_Barbora Lee_Eunhye
Matviyenko_Lisa Marfutina_Maria
Price_Gabriella Appleton_Emily
Arakawa_Haruna Jacquemot_Elsa
Navarro_Emma Viertler_Marion
Cepede_Veronica Lys_Eva
Han_Na-lae Kenin_Sofia
Raggi_Angelica Olyanovskaya_Valeriya
Douglas_Ellie Custic_Marta
Kawaguchi_Natsumi Bilardo_Federica
Shoshyna_Anastasiya Sanesi_Gaia
Potapova_Anastasia Fiquet_Tiphanie
Yashina_Ekaterina Sizikova_Yana
Kostyuk_Marta Kanepi_Kaia
Lodikova_Daria Nuudi_Maileen
Ureke_Anna Colmegna_Martina
Vekic_Donna Gracheva_Varvara
Korpatsch_Tamara Yushchenko_Valeriya
Carrillo_Alba Dmitrichenko_Yekaterina
Ostlund_Fanny Cristian_Jaqueline
Giovine_Claudia Kurata_Nathaly
Leykina_Polina Kruger_Zoe
Andreescu_Bianca Demidova_Diana
Pellicano_Helene Bronzetti_Lucia
Vangelova_Ani Ponomar_Lisa
Volynets_Katie Cakarevic_Sara
Papamichail_Despina Kvitova_Petra
Shimizu_Ayano Zhu_Amy
Linette_Magda Rodriguez_Victoria
Werner_Caroline Pislak_Manca
