definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Bihan_Kelia Djakovic_Mihaela
Bara_Irina Moore_Tara
Sakatsume_Himeno Viertler_Marion
Stosur_Samantha Kovapitukted_Punnin
Vismane_Daniela Raggi_Angelica
Proctor_Lauren Babic_Vladica
Sharipova_Sabina Lene_Emma
Kozyreva_Maria Belgraver_Julie
Badosa_Paula Beth_Sarah
Shibahara_Ena Akita_Shiho
Jang_Su-Jeong Klaffner_Melanie
Cornet_Alize Yi_Ya
Astakhova_Darya Gao_Xinyu
Bartone_Kamilla Hertel_Anna
Hogenkamp_Richel Davis_Emma
Helmi_Olga Gutierrez_Maria
Murta_Ines Saidenova_Noel
Korpatsch_Tamara Husaric_Anita
Webley-Smith_Emily Hatouka_Yuliya
Boisson_Lois Hanatani_Nagi
Seibold_Emily Ponchet_Jessika
Ortenzi_Jazmin Fahey_Katharine
Alexandrova_Ekaterina Bai_Alison
Ayukawa_Mana Burel_Clara
Sutjiadi_Aldila Lahey_Ashley
Ponomar_Lisa Kaji_Haruka
Ureke_Anna Szabanin_Natalia
Cisovska_Romana Bogdan_Ana
Weedon_Andrea Lapko_Vera
Escauriza_Lara Lindh_Emilie
Mrdeza_Tereza Sewing_Sofia
Avdeeva_Julia Sakellaridi_Sapfo
Nuudi_Maileen Amanmuradova_Akgul
Ostlund_Fanny Parks_Alycia
Doi_Misaki Zhao_Carol
Djoubri_Salma Day_Kayla
Arcidiacono_Federica Selekhmeteva_Oksana
McNally_Catherine Blinkova_Anna
Sasnovich_Aliaksandra Ene_Cristina
Kruger_Zoe Kruger_Isabella
sramkova_Rebecca KuCova_Kristina
Guillermo_Lorraine Defalco_Jenna
Temin_Marie Douglas_Ellie
Bernardi_Clothilde  Babos_Timea
Lee_Ya-Hsuan Hoedt_Merel
Katic_Vlada Lee_Eunhye
Nahimana_Sada Milatova_Sofia
Demidova_Diana Bucsa_Cristina
Smith_Alicia Giavara_Haley
Kolzer_Romy Cristian_Jaqueline
Tsurenko_Lesia Sekulic_Sarah-Rebecca
Okamura_Kyoka Fita_Angela
Wachaczyk_Julia Yi_Hong
Bejenaru_Karola Tanaka_Yuuki
Raina_Ankita Bassols_Marina
Marino_Rebecca Diyas_Zarina
Silich_Alina Mikulskyte_Justina
Okuno_Ayaka Hoste_Claudia
Marti_Sandy MarcinkeviCa_Diana
Olmos_Giuliana Bolton_Elysia
Christie_Freya Smitkova_Tereza
Dalakishvili_Mariam Perrin_Conny
Muhammad_Asia Kuznetsova_Svetlana
Kimchi_Shavit Glushko_Julia
Bihan_Kelia Bara_Irina
Sakatsume_Himeno Stosur_Samantha
Vismane_Daniela Proctor_Lauren
Kozyreva_Maria Sharipova_Sabina
Shibahara_Ena Badosa_Paula
Jang_Su-Jeong Cornet_Alize
Bartone_Kamilla Astakhova_Darya
Hogenkamp_Richel Helmi_Olga
Korpatsch_Tamara Murta_Ines
Webley-Smith_Emily Boisson_Lois
Seibold_Emily Ortenzi_Jazmin
Ayukawa_Mana Alexandrova_Ekaterina
Sutjiadi_Aldila Ponomar_Lisa
Ureke_Anna Cisovska_Romana
Weedon_Andrea Escauriza_Lara
Avdeeva_Julia Mrdeza_Tereza
Nuudi_Maileen Ostlund_Fanny
Doi_Misaki Djoubri_Salma
McNally_Catherine Arcidiacono_Federica
Kruger_Zoe Sasnovich_Aliaksandra
Guillermo_Lorraine sramkova_Rebecca
Bernardi_Clothilde  Temin_Marie
Katic_Vlada Lee_Ya-Hsuan
Demidova_Diana Nahimana_Sada
Kolzer_Romy Smith_Alicia
Tsurenko_Lesia Okamura_Kyoka
Bejenaru_Karola Wachaczyk_Julia
Raina_Ankita Marino_Rebecca
Okuno_Ayaka Silich_Alina
Olmos_Giuliana Marti_Sandy
Dalakishvili_Mariam Christie_Freya
Muhammad_Asia Kimchi_Shavit
Sakatsume_Himeno Bihan_Kelia
Kozyreva_Maria Vismane_Daniela
Shibahara_Ena Jang_Su-Jeong
Bartone_Kamilla Hogenkamp_Richel
Webley-Smith_Emily Korpatsch_Tamara
Seibold_Emily Ayukawa_Mana
Sutjiadi_Aldila Ureke_Anna
Weedon_Andrea Avdeeva_Julia
Doi_Misaki Nuudi_Maileen
McNally_Catherine Kruger_Zoe
Bernardi_Clothilde  Guillermo_Lorraine
Demidova_Diana Katic_Vlada
Kolzer_Romy Tsurenko_Lesia
Raina_Ankita Bejenaru_Karola
Olmos_Giuliana Okuno_Ayaka
Dalakishvili_Mariam Muhammad_Asia
Kozyreva_Maria Sakatsume_Himeno
Shibahara_Ena Bartone_Kamilla
